iter	Logloss
0	0.6531924095
1	0.614223471
2	0.5815444408
3	0.5604631253
4	0.5361979992
5	0.5138697571
6	0.4976605373
7	0.4833839104
8	0.4690825905
9	0.4562667247
10	0.4462689202
11	0.4352323211
12	0.4275354478
13	0.4213006178
14	0.414387565
15	0.406740187
16	0.402063072
17	0.3967177021
18	0.391744385
19	0.3868735432
20	0.3829584224
21	0.3795434736
22	0.375702875
23	0.3726952112
24	0.3700819144
25	0.3678655393
26	0.3666168234
27	0.36467109
28	0.3636688366
29	0.3627398347
30	0.3610406919
31	0.3595152984
32	0.3586640266
33	0.357488268
34	0.3565359919
35	0.3558437157
36	0.3548155814
37	0.3534620484
38	0.3518893011
39	0.3506752342
40	0.3496776248
41	0.3493342
42	0.3487488611
43	0.3480611509
44	0.3473839218
45	0.3465999039
46	0.3456642189
47	0.3451163621
48	0.3447515945
49	0.3437660191
50	0.3430169375
51	0.3423758121
52	0.3420782123
53	0.3415402571
54	0.340963239
55	0.3408852153
56	0.3401167535
57	0.3395101794
58	0.339190364
59	0.3388298514
60	0.3386831842
61	0.338386253
62	0.3379795162
63	0.3376589108
64	0.3376479195
65	0.3372413767
66	0.3370255304
67	0.3365779985
68	0.3363305306
69	0.3361974209
70	0.335911614
71	0.335687677
72	0.335425119
73	0.3350920024
74	0.3348483756
75	0.3347251396
76	0.3346346586
77	0.3342643556
78	0.3341737729
79	0.3340176703
80	0.3339385125
81	0.333544605
82	0.3333826321
83	0.3332943767
84	0.3332208548
85	0.3329752316
86	0.3328457337
87	0.3326820971
88	0.3324834108
89	0.3324006027
90	0.332065762
91	0.3319887668
92	0.3319004269
93	0.3318309574
94	0.3317433749
95	0.3315695962
96	0.331330541
97	0.3312813927
98	0.3311897342
99	0.3309584551
100	0.3309308223
101	0.3307388452
102	0.3306095647
103	0.3305593163
104	0.3304419649
105	0.3302481055
106	0.3301027317
107	0.3300961097
108	0.3299109097
109	0.3297685332
110	0.329631042
111	0.3295646837
112	0.3295646116
113	0.3295546102
114	0.3292713165
115	0.3291171912
116	0.3290046748
117	0.3289276778
118	0.3288659963
119	0.3287329144
120	0.3285447966
121	0.3284323881
122	0.3283253097
123	0.3283002316
124	0.328140961
125	0.3279772885
126	0.3279458571
127	0.3277840949
128	0.3276363309
129	0.3275446828
130	0.3275445486
131	0.3274254319
132	0.3273388907
133	0.3271544579
134	0.327075941
135	0.3269801837
136	0.3268364442
137	0.3267478412
138	0.3265758513
139	0.3264064505
140	0.3262560673
141	0.3261476072
142	0.3260670353
143	0.3258432617
144	0.325796142
145	0.3257801402
146	0.3257800753
147	0.3256984299
148	0.3256555062
149	0.3255425322
150	0.3254174633
151	0.3253151128
152	0.3251640914
153	0.3250605081
154	0.3249218539
155	0.3248962984
156	0.3248871835
157	0.3248329505
158	0.3248303521
159	0.32467039
160	0.3245041962
161	0.3243555707
162	0.3242578344
163	0.3241954729
164	0.3241017296
165	0.3240739593
166	0.323758835
167	0.3236408611
168	0.3235305411
169	0.3234688357
170	0.3233540614
171	0.3232480002
172	0.3230852854
173	0.3229913309
174	0.3229394081
175	0.3228302735
176	0.3227517844
177	0.3227222583
178	0.322569637
179	0.3225299994
180	0.3225221222
181	0.3223777744
182	0.3223431591
183	0.3222222939
184	0.3221886508
185	0.3220895257
186	0.3219761999
187	0.3219066312
188	0.3218995101
189	0.3217768172
190	0.3214915442
191	0.3213441603
192	0.3212814693
193	0.3212707707
194	0.3212112702
195	0.3210392425
196	0.3209584111
197	0.3208826453
198	0.3206546052
199	0.3206315214
200	0.3204026151
201	0.3202143323
202	0.3201451612
203	0.3201137427
204	0.319853678
205	0.3198135027
206	0.3197280256
207	0.3196479488
208	0.319366123
209	0.3192472958
210	0.3191777567
211	0.3191125286
212	0.3189814712
213	0.3188606756
214	0.318819718
215	0.3187109296
216	0.3186725393
217	0.3186183722
218	0.3185554538
219	0.3184901405
220	0.3182942933
221	0.3181959711
222	0.3181710988
223	0.3180538322
224	0.3177384815
225	0.3175214808
226	0.3174361379
227	0.317149337
228	0.3170234885
229	0.3168502775
230	0.3167059704
231	0.3166130961
232	0.3165234722
233	0.3164032048
234	0.3162321523
235	0.3161756219
236	0.3160863951
237	0.3160015255
238	0.3159677967
239	0.3159584524
240	0.315907155
241	0.3157773972
242	0.3156070449
243	0.3154242457
244	0.3153265771
