group;main_unit_off;main_unit_ps;main_unit_fid
group 16;"ВЛ-6 кВ Ф-3 ПС 35/6 кВ ""Горбатовская-1""";Горбатовская-1;3
group 16;"ВЛ-6 кВ Ф-17 ПС 110/35/6 кВ ""Снисски"" (ЧПО)";Снисски;17
group 14;"ВЛ-6 кВ ""136-14""";136-14;14
group 9;ГПУ;ГПУ;
group 16;"ВЛ-35 кВ ""Утевка-1"" ПС 110/35/6 кВ ""Нефтегорская-2""(ВПО). Под отключение попали: ПС 35/6кВ ""Гагаринская"", ""Утевская"", Покровская"",";Утевка-1;2
group 16;"ВЛ-35 кВ ""Могутово"" ПС 110/35/6 кВ ""Подгорная"". Под отключение попали: ПС 35/6 кВ ""Могутовская"",Т-2-Т ""Неклюдовская"".";Могутово;
group 16;"ВЛ-35 кВ ""Сарбай"" ПС 110/35/6 кВ ""Сосновка"" (ВПО) Под отключение попали:ПС 35/6 кВ ""БКНС"", ""Дерюжевка"",""Садовая"", ""Мочалеевка"", ""Сологаевка"",""Сургутская""(ПРЦЭиЭ№3).";Сарбай;
group 16;"ВЛ-6 кВ Ф-322 ПС 35/6 кВ ""Чубовка""";Чубовка;322
group 16;"ВЛ-6 кВ Ф-3 ПС 35/6 кВ ""Евгеньевская""";Евгеньевская;3
group 16;"ВЛ-6 кВ Ф-6 ПС 35/6 кВ 
""Грековская""";Грековская;6
group 16;"ВЛ-6 кВ Ф-6 ПС 35/6 кВ 
""Грековская""";Грековская;6
group 16;"ВЛ-6 кВ Ф-5 ПС 35/6 кВ 
""Городецк""";Городецк;5
group 16;"ВЛ-35 кВ ""Черновка""(СПО) ПС 35/10 кВ ""КС-8"" (ООО ""Газпром Энерго"") Под отключение попали: ВЛ-10 кВ Ф-9 (""АО ""СНГ"")  ПС 35/10 кВ ""Черновка"" (СПО)";Черновка;9
group 16;"ВЛ-35 кВ ""Якушкинская-1"" ПС 110/35/6 кВ ""Серноводская"" (СПО) Под отключение попали :  Т-1-Т ПС 35/6 кВ ""Якушкинская"", ""ФНС"", ""Обошинская"".  Под посадку напряжения попал:  С-1-Т ПС 110/35/6 кВ ""Козловская"",  Т-1-Т ПС 35/6 кВ ""Орлянская""";Якушкинская-1;
group 16;"ВЛ-10 кВ Ф-16 (АО ""СНГ"") ПС 110/35/10 кВ ""Пестравка"" (ЧПО)";СНГ;16
group 16;"ВЛ-6 кВ Ф-5 (АО ""СНГ"") ПС 110/35/6 кВ ""Зольное"" (Жиг.П.О,)";СНГ;5
group 16;"ВЛ-10кВ Ф-12 ""Гражданский"" ПС 110/35/10кВ ""Чапаевская"" (ЧПО). Под посадку напряжения попало РУ-10кВ ""Гражданское""";Гражданский;12
group 16;"ВЛ-6 кВ Ф-1 ПС 35/6 кВ ""Сытовка""";Сытовка;1
group 16;"ВЛ-35 кВ ""Дзержинская"" ПС 35/10 кВ ""Ровное"" (ЧПО) Под посадку напряжения попали: Т-1-Т ПС 35/6 кВ ""Дзержинская""";Дзержинская;
group 16;"ВЛ-35 кВ ""Каменка""(АО ""СНГ"") ВЛ-35 кВ ""Елховка""(АО ""СНГ"") ПС 110/35/10 кВ ""Елховка"" (СПО) Под посадку напряжения попали: ПС 35/6 кВ ""Каменка, ПС 35/10 кВ ""Волгановка"".";Каменка;
group 16;"1,2 С.Ш-35 кВ ПС 110/35/10 кВ ""Елховка""(СПО)";Елховка;
group 16;"ВЛ-6 кВ Ф-41 ПС 35/6 кВ ""Дмитриевская"" ";Дмитриевская;41
group 16;"ВЛ-6 кВ Ф-2 ПС 35/6 кВ ""Аманак""";Аманак;2
group 16;"ВЛ-6 кВ Ф-3 ПС 35/6 кВ ""Евгеньевская""";Евгеньевская;3
group 16;"ВЛ-35 кВ ""Богдановка-2"" ПС 110/35/6 кВ  ""Бариновская""";Богдановка-2;
group 16;"ВЛ-110 кВ ""Чапаевская-Снисски-2"" ПС 110/35/10 кВ ""Чапаевская""(ЧПО) Под отключение попали: С-2-Т ПС 110/35/6 кВ ""Снисски"" (ЧПО), Ф-14,Ф-15,Ф-16,Ф-17,Ф-18 (ОАО ""СНГ"") ПС 35/6 кВ ""Медведевская"".";Чапаевская-Снисски-2;
group 16;"ВЛ-6 кВ Ф-11 ПС 35/6 кВ ""Малиновская""";Малиновская;11
group 16;"ВЛ-6 кВ Ф-3 ПС 35/6 кВ ""Яблоневская"" (Жиг.П.О.)";Яблоневская;3
group 16;"ВЛ-6 кВ Ф-6 ПС 35/6 кВ ""Грековская""";Грековская;6
group 16;"ВЛ-6 кВ Ф-1 ПС 35/6 кВ ""Сытовка""";Сытовка;1
group 16;"ВЛ-6 кВ Ф-19 ПС 35/6 кВ ""Малиновская""";Малиновская;19
group 16;"ВЛ-6 кВ Ф-2 ПС 35/6 кВ ""Казанская""";Казанская;2
group 16;"ВЛ-10 кВ Ф-9 (А.О. СНГ) ПС 35/10 кВ ""Черновка"" (СПО)";Черновка;9
group 16;"ВЛ-6 кВ Ф-2 ПС 35/6 кВ ""Якушкинская""";Якушкинская;2
group 16;"ВЛ-35 кВ ""Боровская"" ПС 35/6 кВ ""ФНС"" Под отключение попала:  ПС 35/6 кВ ""Боровская""";Боровская;
group 16;"ВЛ-35 кВ ""Якушкинская-1"" ВЛ-35 кВ ""Якушкинская-2"" ПС 110/35/6 кВ ""Серноводская"" (СПО) Под отключение попали :   ПС 35/6 кВ ""Якушкинская"",  ""ФНС"", ""Боровская"",""Обошинская"".";Якушкинская-1;
group 16;"ВЛ-35 кВ ""Елховка""(АО ""СНГ"") ПС 110/35/10 кВ ""Елховка"" (СПО) Под посадку напряжения попали: Т-2-Т  ПС 35/6 кВ ""Каменка, Т-2-Т  ПС 35/10 кВ ""Волгановка"".";Елховка;
group 16;"ВЛ-35кВ ""Яблоневская"" (Жиг.ПО) ПС 110/35/10 кВ ""Александровка"" (Жиг.ПО). Под отключение попала: ПС 35/6 кВ ""Яблоневская""(Жиг.ПО): ВЛ-6 кВ Ф-2,Ф-3 (АО ""СНГ"").";Яблоневская;
group 16;"ВЛ-35 кВ ""Тимашево-Западная"" ПС 110/35/6 кВ ""Тимашевская"". Под отключение попали: Т-1-Т ПС 35/6 кВ ""Западная"".";Тимашево-Западная;
group 9;СУ ЭЦН;СУ ЭЦН;
group 16;"ВЛ-6 кВ Ф-2 ПС 35/6 кВ ""Шумалгинская""";Шумалгинская;2
group 4;ВЛ-6  ф.235-07;235;7
group 16;"СЭВ-110 ПС 110/35/6 кВ ""Радаевская"". Под отключение попали: С-2-Т ПС 110/35/6 кВ ""Радаевская"",ПС 35/6 кВ ""Малиновская"", ""Ивановская"",Т-2-Т ПС 35/6 кВ ""ЦСП""(ПРЦЭиЭ№3),ВЛ-110 кВ ""Красносельская""(СПО), С-2-Т ПС 110/35/10 кВ ""Елховка""(СПО),  Т-2-Т ПС 35/6 кВ ""Каменка"",Т-2-Т ПС 35/10 кВ ""Волгановка"".";Радаевская;
group 16;"ВЛ-10кВ Ф-11 ""Гражданский"" ПС 110/35/10кВ ""Чапаевская"" (ЧПО). Под посадку попало РУ-10кВ ""Гражданское""";Гражданский;11
group 16;"ВЛ-6 кВ Ф-18 ПС 35/6 кВ ""Запрудная""";Запрудная;18
group 16;"РП-10-2/3 ВЛ-10 кВ Ф-9 ПС 35/10 кВ
""Чёрновка (СПО)";35;9
group 16;"ВЛ-110 кВ ""Коханы-1 (ВПО) ПС 220/110/6 кВ ""Новоотрадная"" (МЭС) Под отключение попали:С-1-Т ПС 110/35/6 кВ ""Подгорная"", С-2-Т ПС 110/35/6 кВ ""Лугань"", С-1-Т ПС 110/35/6 кВ ""Коханы""(ВПО) ,ПС 35/6 кВ ""Марьевская"",""Елховская"", ""Гребенная"", Т-2-Т ПС 35/6 кВ ""Южный-Неприк"", ПС 35/6 кВ ""Бирюковская"",""Северо-Максимовка"", ""Ново-Ключевская"",""Восточная-Черновка"", ""Сброс"".";Коханы-1 (ВПО) ПС 220/110/6 кВ;
group 16;"ВЛ-35 кВ ""Коммунарская"" ПС 110/35/6 кВ  ""Бариновская"" Под отключение попали: Т-2-Т ПС 35/6кВ ""Широкинская"" Т-2-Т  ПС 35/6кВ ""Коммунарская""";Коммунарская;
group 16;"ВЛ-6 кВ Ф-22 ПС 110/35/6 кВ ""Бариновская""";Бариновская;22
group 16;"ВЛ-6 кВ Ф-23 ПС 110/35/6 кВ ""Бариновская""";Бариновская;23
group 16;"ВЛ-6 кВ Ф-20 ПС 110/35/6 кВ ""Бариновская""";Бариновская;20
group 16;"ВЛ-110 кВ ""Вершины""(ВПО) ПС 220/110/6 кВ ""Просвет"" (МЭС). Под отключение попали: С-1-Т ПС 110/35/6 кВ ""Нефтегорская-2"" (ВПО): ВЛ-6 кВ Ф-27,35,38,31 (Энергоцех№2), ПС 35/6кВ ""Утевская"", ""Гагаринская"", ""Покровская"", ""ДНС-1"",Город-2"", ""Кулешовская"",""Ветлянская"", ""Верхне-Ветлянская"", С-1-Т  ПС110/35/10 кВ ""Алексеевка""(ВПО): ПС 35/6кВ ""Субботинская"", ""Грековская"".";Вершины;2
group 16;"ВЛ-110 кВ ""Алексеевка-1""(ВПО) ПС 110/35/6 кВ ""Нефтегорская-2""(ВПО). Под отключение попали: С-1-Т ПС110/35/10кВ ""Алексеевская""(ВПО): ""Субботинская"", ""Грековская"", ""Алексеевская"", Т-2-Т ""Верхне-Ветлянская"".";Алексеевка-1;2
group 16;"ВЛ-35 кВ ""Ветлянка-2"" ПС 35/6 кВ ""ДНС-1""  Под отключение попали: ПС 35/6кВ ""Город-2"",  ""Кулешовская"", ""Ветлянская"", Т-1-Т ""Верхне-Ветлянская"".,";Ветлянка-2;
group 16;"ВЛ-6 кВ Ф-16 ПС 110/35/6 кВ ""Бариновская""";Бариновская;16
group 16;"СВВ-35 кВ ПС 35/6 кВ ""ДНС-1"" Под отключение попали:  ПС 35/6кВ ""Город-2"",  ""Кулешовская"", ""Ветлянская"", Т-1-Т ""Верхне-Ветлянская""";ДНС-1;
group 9;ДЭС;ДЭС;
group 16;"ВЛ-110 кВ ""Жигулёвск-Зольное"" Жиг.ГЭС (Русгидро) Под отключение попали:Ф-1,2,4,5 (СНГ)ПС 110/35/6 кВ ""Зольное"" (Жиг.ПО),  ПС35/6 кВ ""Стрельная"".";Жигулёвск-Зольное;
group 16;"МВ-35 Т-1-Т ПС 35/6 кВ ""Восточная"". Под отключение попали:Т-1-Т ПС35/6 кВ ""Восточная"" ";Восточная;
group 16;"ВЛ-110 кВ ""Коханы-1 (ВПО) ПС 220/110/6 кВ ""Новоотрадная"" (МЭС) Под отключение попали:С-1-Т ПС 110/35/6 кВ ""Подгорная"", С-2-Т ПС 110/35/6 кВ ""Лугань"", С-1-Т ПС 110/35/6 кВ ""Коханы""(ВПО) ,ПС 35/6 кВ ""Марьевская"",""Елховская"", ""Гребенная"", ПС 35/6 кВ ""Бирюковская"",""Северо-Максимовка"", ""Ново-Ключевская"",""Восточная-Черновка"",""Сброс"".";Коханы-1 (ВПО) ПС 220/110/6 кВ;
group 16;"ВЛ-10 кВ Ф-4 ПС 35/10 кВ ""Петрухновская""";Петрухновская;4
group 16;"ВЛ-6 кВ Ф-2 ПС 35/6 кВ ""Сытовка""";Сытовка;2
group 16;"ВЛ-6 кВ Ф-Н-7 ПС 35/6 кВ ""Елховская""";Елховская;7
group 16;"ВЛ-110 кВ ""Коханы-2""(ВПО) ПС 220/110/10 кВ ""Комсомолец""(МЭС). Под отключение попали:  С-1-Т ПС 110/35/6 кВ""УКПН-2,  С-2-Т ПС110/35/6кВ ""Коханы""(ВПО), ВЛ-6 кВ Ф-65, Ф-67(АО ""СНГ"")  ПС 35/6кВ ""Ключевская"" Городецк"", ""Жуково"", ""Теребилово""(ПРЦЭиЭ№5)";Коханы-2;
group 16;"ВЛ-6 кВ Ф-8 ПС 35/6 кВ ""Горбатовская-1""";Горбатовская-1;8
group 16;"ВЛ-6 кВ Ф-2 (АО ""СНГ) ПС 110/35/6 кВ ""Зольное"" (Жиг.ПО)";СНГ) ПС 110/35/6 кВ;2
group 16;"ВЛ-6 кВ Ф-4 (АО ""СНГ) ПС 110/35/6 кВ ""Зольное"" (Жиг.ПО)";СНГ) ПС 110/35/6 кВ;4
group 16;"ВЛ-35 кВ ""Стрельная"" ПС 110/35/6 кВ ""Зольное"" (Жиг.ПО) Под отключение попала: ПС 35/6 кВ ""Стрельная""";Стрельная;
group 16;"ВЛ-6 кВ Ф-1 ПС 35/6 кВ ""Сытовка""";Сытовка;1
group 16;"ВЛ-6 кВ Ф-2 ПС 35/6 кВ ""Сытовка""";Сытовка;2
group 16;"ВЛ-6 кВ Ф-5 ПС 110/35/6 кВ ""Зольное"" (Жиг.ПО) Под отключение попал: уч.ВЛ-6кВ Ф-4 после ЛР-21.";Зольное;5
group 2;ВЛ-6кВ ф.136-06;136;6
group 16;"МВ-6 кВ Ввод-6 Т-1-Т ПС 35/6 кВ ""Сытовка""";Сытовка;
group 16;"ВЛ-110 кВ ""Д.Умётская-1""(ВПО) ПС 110/10 кВ ""Дружба""(РЖД). Под отключение попали: С-1-Т ПС 110/35/6 кВ""Дубовый Умёт""(ВПО): ПС 35/6 кВ  ""Гараевская"",""Рассветская"", ""Горбатовская-1"" ""Карагайская"", ""Восточная"", Т-1-Т ""Горбатовская-2"", Т-2-Т ""Дзержинская"".";Д.Умётская-1;
group 16;"ВЛ-110 кВ ""Подб.-Михайловская-1"" ПС 110/10 кВ Подбельская-Тяговая"" (РЖД). Под отключение попали: С-2-Т ПС 110/35/6 кВ ""Сосновка"" (ВПО),ПС 35/6 кВ ""Аманак"", ""Кр.Алешкино"",""Боголюбовка"", С-2-Т ПС 110/35/6 кВ ""Похвистнево-2"" (ВПО) (Ф-УКОН-1,Ф-В.Калиновка""), ПС 35/6 кВ ""ЖБИ"".";Подб.-Михайловская-1;1
group 16;"ВЛ-110 кВ ""Подгорная""  ПС 220/110/6 кВ ""Новоотрадная""(МЭС).  Под отключение попали: С-2-Т ПС 110/35/6 кВ ""Подгорная"", Т-2-Т ПС 35/6 кВ ""Неклюдовская"", ПС 35/6 кВ ""Могутовская"",ПС 35/6 кВ ""Долматовская"",  ПС 35/6 кВ ""Южный-Неприк"", ПС 35/10 кВ ""Петровка""(ВПО).";Подгорная;
group 5;Мирзоева, Л-4Мз;;
group 16;"ВЛ-6 кВ Ф-4 ПС 35/6 кВ ""Карагайская""";Карагайская;4
group 16;"ВЛ-110 кВ ""Калиновый Ключ""(ВПО) ПС 220/110/6 кВ ""Ново-Отрадная"" (МЭС). Под отключение попали: С-2-Т ПС 110/35/6 кВ ""Калиновый Ключ"" (РРНУ),Т-2-Т ПС 35/6 кВ ""Екатериновская"".";Калиновый Ключ;
group 16;"ВЛ-110 кВ ""Д.Умётская-1""(ВПО) ПС 110/10 кВ ""Дружба""(РЖД). Под отключение попали: С-1-Т ПС 110/35/6 кВ""Дубовый Умёт""(ВПО): ПС 35/6 кВ  ""Гараевская"",""Рассветская"", ""Горбатовская-1"" ""Карагайская"", ""Восточная"", Т-1-Т ""Горбатовская-2"", Т-2-Т ""Дзержинская"".";Д.Умётская-1;
group 16;"ВЛ-10 кВ ""РАК 3"" ПС 35/10 кВ ""Большая Раковка"" (СПО) Под отключение попали: отпайка ВЛ-10 кВ в сторону КТП-""РАК 302"" от опоры № 300/92 ВЛ-10 кВ ""РАК-3"".";РАК 3;
group 16;"ВЛ-110 кВ ""Красносамарская"" (ВПО) ПС 220/110/35 кВ ""Кинельская"" (МЭС) Под откл.попали: С-2-Т ПС 110/35/6 кВ ""Нефтегорская-2"" (ВПО) Энергоцех №2:ВЛ-6 кВ Ф-9,10 (АО ""СНГ""),ПС 35/6 кВ ""Промысловая"",""ДНС-2"", С-2-Т ПС 110/35/6 кВ ""Бариновская"": ПС 35/6 кВ ""КНС"",""Красносамарская"",Т-1-Т ""Широкинская"",Т-1-Т ""Коммунарская"", Т-2-Т ""Евгеньевская"".С-2-Т ПС 110/35/10 кВ ""Алексеевка"" (ВПО):ПС 35/6 кВ ""Богатыревская"".С-2-Т ПС 110/35/6 кВ ""Нефтегорская-1"" (ВПО): Энергоцех№2: ВЛ-6 кВ Ф-1,5,4,13 (АО ""СНГ"").";Красносамарская;2
group 16;"ВЛ-110 кВ ""Коханы-2""(ВПО) ПС 220/110/10 кВ ""Комсомолец""(МЭС). Под отключение попали:  С-1-Т ПС 110/35/6 кВ""УКПН-2,  С-2-Т ПС110/35/6кВ ""Коханы""(ВПО), ВЛ-6кВ Ф-63, Ф-65(АО ""СНГ"")  ПС 35/6кВ ""Ключевская"" Городецк"", ""Жуково"", ""Теребилово""(ПРЦЭиЭ№5)";Коханы-2;
group 16;"ВЛ-10 кВ Ф-4 (ЧПО) ПС 110/35/10 кВ ""Пестравка"" (ЧПО). Под посадку напряжения попала: ВЛ-10 кВ Ф-16 (СНГ)";Пестравка;4
group 16;"ВЛ-35 кВ ""Верхне-Ветлянка"" ПС 35/6 кВ  ""Грековская"" Под отключение попали:  Т-2-Т ПС 35/6 кВ ""Верхне-Ветлянская"".";Верхне-Ветлянка;
group 16;"ВЛ-6 кВ Ф-2 ПС 110/35/6 кВ ""Зольное"" (Жиг.ПО)";Зольное;2
group 16;"ВЛ-10 кВ Ф-13 РУ-10 кВ ""Гражданское""";Гражданское;13
group 16;"ВЛ-110 кВ ""Чапаевская-Снисски-2"" ПС 110/35/10 кВ ""Чапаевская""(ЧПО) Под отключение попали: С-2-Т ПС 110/35/6 кВ ""Снисски"" (ЧПО), Ф-14,Ф-15,Ф-16,Ф-17,Ф-18 (ОАО ""СНГ"") ПС 35/6 кВ ""Медведевская"".";Чапаевская-Снисски-2;
group 16;"ВЛ-6 кВ Ф-6 ПС 35/6 кВ ""Парфёновская"".";Парфёновская;6
group 16;"ВЛ-35 кВ ""Кривая Лука"" ПС 220/110/35 кВ ""Кинельская""(МЭС) Под отключение попала: ПС 35/6 кВ ""Кривая Лука"" (АО ""СНГ"")";Кривая Лука;
group 4;Вводной АВ-0,4кВ  (1600А);;
group 16;"ВЛ-6 кВ Ф-2 ПС 35/6кВ""Боголюбовка""";Боголюбовка;2
group 16;"ВЛ-110 кВ ""Новоотрадная-Подбельская-1"" (ВПО) ПС 220/110/6 кВ ""Новоотрадная"" (МЭС)";Новоотрадная-Подбельская-1;
group 16;"ВЛ-6 кВ Ф-2 ПС 35/6 кВ ""Сытовка""";Сытовка;2
group 16;"ВЛ-35 кВ ""Елховка""(АО ""СНГ"") ПС 110/35/10 кВ ""Елховка"" (СПО) Под отключение попали: Т-2-Т  ПС 35/6 кВ ""Каменка, Т-2-Т  ПС 35/10 кВ ""Волгановка"".";Елховка;
group 16;"ВЛ-10 кВ Ф-4 ПС 35/10 кВ
""Маланинская""""";Маланинская;4
group 16;"ВЛ-110 кВ ""КС-3""(ВПО) ПС 220/110/10 кВ ""Просвет""(МЭС).Под отключение попали: С-1-Т ПС-110/35/6 ""Кудиновская"",   ПС-35/6 ""Кудиновская"", Т-2-Т ПС-35/6 ""Горбатовская-2"".";КС-3;
group 16;"ВЛ-6 кВ Ф-17 ПС 110/35/6 кВ ""Снисски""(ЧПО)";Снисски;17
group 16;"ВЛ-6 кВ Ф-65 ПС 35/6 кВ
""Ново-Ключевская""";Ново-Ключевская;65
group 16;"Ввод-1, МВ-35 Т-1-Т ПС 35/6 кВ ""Садовая""";Садовая;
group 16;"ВЛ-110 кВ ""Коханы-2""(ВПО) ПС 220/110/10 кВ ""Комсомолец""(МЭС). Под отключение попали:  С-1-Т ПС 110/35/6 кВ""УКПН-2,  С-2-Т ПС110/35/6кВ ""Коханы""(ВПО), ВЛ-6кВ Ф-63, Ф-65(АО ""СНГ"")  ПС 35/6кВ ""Ключевская"" Городецк"", ""Жуково"", ""Теребилово""(ПРЦЭиЭ№5)";Коханы-2;
group 16;"ВЛ-110 кВ ""Августовка-1""(ЧПО) ПС 220/110/10 ""Южная""(МЭС). Под отключение попали:С-1-Т ПС 110/35/10 кВ ""Б.Глушица""(ЧПО), Т-2-Т ПС 35/10 кВ ""Пиненковская"" (АО ""СНГ"").";Августовка-1;
group 16;"ВЛ-110 кВ ""Дружба-1""(ВПО) ПС 220/110/6 кВ  ""Просвет"" (МЭС). Под посадку напряжения попали:  С-1-Т ПС110/35/6кВ ""Д.Умет""(ВПО) ПС35/6кВ: Горбатовская-1"", Т-1-Т ""Горбатовская-2"", ""Карагайская"", ""Восточная"", Т-2-Т ""Дзержинская"", ""Гараевская"", ""Рассветская"".";Дружба-1;
group 6;ГТУ-1,2, ДГУ-4,5,6,7;;
group 6;ГПУ-1,2,3,4;;
group 6;ГТУ-1,2;;
group 4;В-6кВ ф 3071-14;3071;14
group 9;ДЭС;ДЭС;
group 6;ГПУ-1,2,4, ДГУ-1,3;;
group 4;СУ;СУ;
group 6; КТПН-6/0,4 №1  Куста-1 Южно-Гавриковского м/р;;
group 6;ГТУ-2;;
group 6;ГТУ-3;;
group 10;"ГПЭС-2 2х1,4; 6х1,468 ГПГУ-1";;
group 8;ВЛБ Ф-1;;1
group 16;"ВЛ-6 кВ Ф-2 ПС 35/6 кВ ""Горбатовская-1""";Горбатовская-1;2
group 16;"ВЛ-10 кВ Ф-22 ПС 110/35/10 кВ ""Исаклинская"" (СПО).Под отключение попала: ВЛ-10 кВ Ф-22 ""Междуреченского"" м/р.";Исаклинская;22
group 16;"ВЛ-6 кВ Ф-4 ПС 35/6 кВ ""Никольская""";Никольская;4
group 9;Ф.23-13;23;13
group 16;"ВЛ-35 ""Северо-Максимовка"" ПС 110/35/6 кВ ""Лугань""  Под отключение попали: ПС 35/6 кВ ""Северо-Максимовка"", ПС 35/6 кВ ""Бирюковская"".";Северо-Максимовка;
group 16;" ВЛ-6 Ф-1 ПС 35/6 кВ ""Сытовка""";Сытовка;1
group 16;"ВЛ-110 кВ ""Коханы-1 (ВПО) ПС 220/110/6 кВ ""Новоотрадная"" (МЭС) Под отключение попали:С-1-Т ПС 110/35/6 кВ ""Подгорная"", С-2-Т ПС 110/35/6 кВ ""Лугань"", С-1-Т ПС 110/35/6 кВ ""Коханы""(ВПО) ,ПС 35/6 кВ ""Марьевская"",""Елховская"", ""Гребенная"", ПС 35/6 кВ ""Бирюковская"",""Северо-Максимовка"", ""Ново-Ключевская"",""Восточная-Черновка"",""Сброс"".";Коханы-1 (ВПО) ПС 220/110/6 кВ;
group 16;"ВЛ-10 кВ ""РАК 3"" ПС 35/10 кВ ""Большая Раковка"" (СПО) Под отключение попали: отпайка ВЛ-10 кВ в сторону КТП-""РАК 302"" от опоры № 300/92 ВЛ-10 кВ ""РАК-3"".";РАК 3;
group 16;"МВ-35 кВ Т-1-Т,  ВВ-6 кВ Ввод-6 Т-1-Т ПС 35/6 кВ ""Городецк""";Городецк;
group 16;"ВЛ-110кВ""БольшаяГлушица-1""(ЧПО) ПС 110/35/10кВ ""Колдыбань""(ЧПО). Под отключение попали: ПС35/10кВ:""Петрухновская"", Т-1-Т ""Пиненковская"", Т-2-Т""Маланинская"", ПС35/6кВ Т-1-Т""Дзержинская"" Под посадку напряжения попала  ПС35/6кВ ""Колыванская"". ";БольшаяГлушица-1;
group 9;ГПУ;ГПУ;
group 16;"ВЛ-35 кВ ""Озёркинская-1"" ПС 110/35/6 кВ ""Красногородецкая"". Под отключение попали: Т-1-Т ПС 35/6 кВ ""Шумалгинская"", ""Озёркинская"".";Озёркинская-1;
group 16;"ВЛ-6 кВ Ф-2 ПС 35/6 кВ ""Заборовка""(Жиг. ПО)";Заборовка;2
group 16;"ВЛ-35 кВ ""Сарбай""  ПС 110/35/6 кВ  ""Сосновка"" (ВПО).  Под посадку напряжения попали: ПС 35/6 кВ ""БКНС"", ""Дерюжевка"",""Садовая"", ""Мочалеевка"", ""Сологаевка""(ПРЦЭиЭ №5), ПРЦЭиЭ№3 -""Сургутская"", Т-2-Т ""Екатериновская""";Сарбай;
group 16;"ВЛ-6 кВ Ф-4 ПС 35/6 кВ ""Карагайская""";Карагайская;4
group 16;"ВЛ-110 кВ ""Коханы-1 (ВПО) ПС 220/110/6 кВ ""Новоотрадная"" (МЭС) Под отключение попали:С-1-Т ПС 110/35/6 кВ ""Подгорная"", С-2-Т ПС 110/35/6 кВ ""Лугань"", С-1-Т ПС 110/35/6 кВ ""Коханы""(ВПО) ,ПС 35/6 кВ ""Марьевская"",""Елховская"", ""Гребенная"", ПС 35/6 кВ ""Бирюковская"",""Северо-Максимовка"", ""Ново-Ключевская"",""Восточная-Черновка"",""Сброс"".";Коханы-1 (ВПО) ПС 220/110/6 кВ;
group 16;"ВЛ-6 кВ Ф-4 ПС 110/35/6 кВ ""Радаевская""";Радаевская;4
group 16;"ВЛ-10 кВ Ф-11(СНГ) ПС 110/35/10 кВ ""Чапаевская"" (ЧПО). Под посадку напряжения попали: РУ-10 кВ ""Гражданское"".";Чапаевская;11
group 16;"ВВ-10 Ввод Ф-7 ПС 35/10 кВ ""Маланинская"" РУ-10 Буролатское. Под отключение попала ВЛ-10 кВ  Ф-3.";Маланинская;7
group 16;"ВЛ-6 кВ Ф-41 ПС 35/6 кВ временная ""Дмитриевская""";Дмитриевская;41
group 16;"ВЛ-6 кВ Ф-1 ПС 35/6 кВ ""Сытовка""";Сытовка;1
group 16;"ВЛ-6 кВ Ф-4 ПС 110/35/6 кВ ""Радаевская"".Под отключение попали: ВЛ-6 кВ Ф-8, Ф-26 РУ-6 кВ №10.";Радаевская;4
group 16;"ВЛ-35 кВ ""Аманак"" ПС 110/35/6 кВ ""Сосновка""(ВПО). Под посадку напряжения попали: ПС 35/6 кВ ""Аманак"", ""Кротково- Алешкино"", ""Боголюбовка"".";Аманак;
group 16;"ВЛ-35 кВ ""Сокская"" ПС 110/35/6 кВ""Горная""(СПО) Под отключение попала: 2 СШ 35 кВ ПС 35/6 кВ""Киндяково""";Сокская;
group 16;"ВЛ-10 кВ Ф-12(ВПО) ПС 220/110/10 кВ ""Комсомолец"" (МЭС). Под отключение попали: ВЛ-10 кВ Ф- Колпинский(СНГ), ВЛ-10 кВ Ф-РРВ (СНГ).";Комсомолец;12
group 16;"ВЛ-6 кВ Ф-4 ПС 110/35/6 кВ ""Радаевская"".Под отключение попали: ВЛ-6 кВ Ф-8, Ф-26 РУ-6 кВ №10.";Радаевская;4
group 16;"ВЛ-35 кВ ""Колыванская-1"" ПС 110/35/10 ""Д.Умёт"" (ВПО) Под посадку напряжения попали: ПС 35/6 кВ ""Гараевская"", ""Рассветская"".";Колыванская-1;
group 4;УКРМ-6-1;;
group 16;"ВВ-10 кВ Т-1-Т ПС 35/10 кВ ""Черновка"" (СПО) Под отключение попала:  ВЛ-10 кВ Ф-9 (АО ""СНГ"")";Черновка;9
group 16;"ВЛ-6 кВ Ф-71 ПС 35/6 кВ ""Восточная""";Восточная;71
group 16;"МВ-35 кВ Т-1-Т МВ-6 кВ Т-1-Т ПС 35/6 кВ ""Восточно-Кохановская""";Восточно-Кохановская;
group 16;"ВЛ-6 кВ Ф-2 ПС 35/6 кВ ""Сытовка""";Сытовка;2
group 16;"ВЛ-6 кВ Ф-1 ПС 35/6 кВ ""БКНС""";БКНС;1
group 16;"ВЛ-6 кВ Ф-49 ПС 35/6 кВ ""Сброс""";Сброс;49
group 16;"Ввод-6 кВ Т-1-Т ПС 35/6 кВ
""Парфёновская""";Парфёновская;
group 16;"ВЛ-35 кВ ""УОН"" ПС 110/35/6 кВ
""Алакаевка"" (СПО).Под отключение попала:ПС 35/6 кВ ""Запрудная"",
Т-2-Т ПС 35/6 кВ "" Ключи""";УОН;
group 16;"ВЛ-6 кВ Ф-2 ПС 35/6 кВ ""Сытовка""";Сытовка;2
