group;main_unit_off;main_unit_ps;main_unit_fid
group 11;"Энергокомплекс ""ТЮНГД"" - ГТЭС №1, 4 ,5 ,6, 7, 8  Энергокомплекс ""Бурэнерго"" - ГТЭС№4, 5";;
group 3;"ЖМК-86,ВВП-240,
7 скв. добычи: Куст-3 (1 скв.), Куст-4 (6 скв.)";;
group 12; ВЛ-35кВ Ф-1             ПС-35/6 К-40;;1
group 2;ПС 35/6кВ №2 2Т ;35;
group 13;Ф-1, КП-4;;
group 13;ПАЭС №1,2;;
group 13;ПАЭС №1,2;;
group 13;ПАЭС №1,3;;
group 13;ПАЭС №1,2;;
group 13;ПАЭС №1,3;;
group 13;ПАЭС №1,2;;
group 13;ПАЭС №1,2;;
group 13;ПАЭС №1,2;;
group 13;ПАЭС №1,2;;
group 13;ПАЭС №1,2;;
group 13;ПАЭС №1,2;;
group 13;ПАЭС №3,4,7,9;;
group 13;;;
group 13;ПАЭС №6,7,9;;
group 13;ПАЭС №3,5,9;;
group 13;ПАЭС № 2,3,6,9;;
group 13;ПАЭС № 1,2,3,4,5,6;;
group 3;"ВЛ-35 М-11
ПС №7 2С-35,2Т, 2С-6
ПС №105 2С-35,2Т, 2С-6
ПС №7 (3скв.); ПС № 105 (7скв.); ПС №8 (1скв.-посадка U); ПС №103 (1скв.-посадка U); ПС №102 (1скв.-посадка U)";;
group 3;"ПС №7,8,10, 102 ,105,104;
ПС №1(1С-6),50(2С-6), 101(2С-6), 100(2С-6) на время АВР-6кВ; 79 скважин.";;
group 3;При посадке напряжения: Добыча 19 скажин на Кустах: 7,10,2б,105,202,102,1б,107,4,4б,3б,109,19,112.;;
group 3;ВЛ-35 М-29                               ПС№19  (2С-6кВ), ПС№21 (1С-6кВ),  ПС№24 (1С-6кВ), ПС№109 (1С-6кВ), ПС№111 (2С-6кВ), ПС№112 (1С-6кВ);;
group 3;"ВЛ-6кВ ф.1-19 (Куст-1бис - 4скв.; Куст-1 - 1скв.)";;19
group 3;"ВЛ-35 М-1 
ПС№2 (1С-6кВ), ПС№4 (1С-6кВ), ПС№51 (1С-6кВ)";;
group 4;КТПН-6/0,4 № 1 к.303;;
group 3;ВЛ-110 С-4;;
group 3;"БКНС-1:Н-2,3; БКНС-2: ОНД-2; ГКС НД: КМ-1.1, КМ-2.1;                           12 скважин на кустах 5,9А,100,101";;
group 3;"КТП и вагон -дома                                      ООО ""Севертрансстрой"" ";;
group 4;"ВЛ-6 ф.101МБ, 
ВЛ-6 ф.121МБ";;
group 3;"ВЛ-6кВ ф.1-20 (Куст-1бис - 4скв.)
БУ Куста 1бис.";;20
group 3;"ВЛ 110 кВ Ванкорская ГТЭС - Север №1 (С-7);
1 скважина №973 КП 209";;
group 3;"ПС-30 ""Тихоновская""                                      В-10 ф 30-49";Тихоновская;49
group 9;ДЭС;ДЭС;
group 14;ЗРУ-6 КНС-7 1СШ-6;;
group 3;Куст 6бис - 16 скважин;;
group 3;ВЛ-35кВ М-17;;
group 3;ВЛ-35кВ М-1;;
group 3;"ПС 35кВ №54 ""ЗПБШ"",
2Т, 2СШ-6кВ, 
ф.54-14 (Куст-207)";ЗПБШ;14
group 3;ПС 35/6 №20 1С-35, №16 1С-35, №108 1С-35, №21 1С-35, №24 1С-35, №112 1С-35, №109 1С-35, №111 2С-35, №19 2С-35, №17 1С-35;35;
group 3;ф.15-19;15;19
group 3;Оборудование не отключалось;Оборудование не отключалось;
group 11;"Кустовая площадка №20,
КТП-6/0,4 кВ, 
вводной АВ-0,4 кВ";;
group 3;В-10 1Т и В-10 2Т  ;;
group 3; вводной автомат 0,4кВ ТП 6/0,4 кВ;;
group 3;"ЗРУ-10 ПАЭС
 Вводная ячейка №4";;
group 15;ВЛ-6кВ Ф-502, 507Х, 512, 514;;
group 3;"
УПН:  НА 3/1; ППД: ОНД-1 и ДНД-2; нефтяной фонд скважин ";;
group 3;"УПН:  НА 3/1; ППД: ОНД-1 и ДНД-2; нефтяной фонд скважин ";;
group 7;ГТЭС Ван-Еганского м.р.;ГТЭС Ван-Еганского м.р.;
group 3;23 скважины на кустах 5,9А,100,101;;
group 3;Добыча 7скв.: Куст-1(1скв.), 1бис(1скв.), 2(1скв), 101(1скв), 202(2скв), 108(1скв). ВКНС-1: Н-1, Н-2, Н-3.;;
group 3;Добыча 11 скв. (3 куст-4скв., 4куст-7скв.), поселок ВВП-240;;
group 3;ПС№2,4,51,15,17 (Кусты-2,2бис,4,4бис,15,17,107,202,209);;
group 4;СУ к.203;;
group 3;"УПН: ПП №1,2,3. ПТБ №1,3
БКНС-2: ОНД-1,3. ДНД-3
Куст-3 скв.195 ";;
group 3;Добыча: куст 8 1скв, куст 8бис 12скв.;;
group 3;"29 скважин фонда добычи на 5 кустах; ";;
group 7;"ВЛ-6кВ Ф-9 ПС 35/6кВ ""К-210""";К-210;9
group 7;"ВЛ-6кВ Ф-4 ПС 35/6кВ ""Южная""";Южная;4
group 7;"ВЛ-35кВ Ф-4 ПС 110/35/6кВ ""Ореховская""";Ореховская;4
group 12; ВЛ-35кВ Ф-3             ПС-35/6 К-40;;3
